Value
_spaceAsDigitGroupSeparatorAndDecimalComma
_spaceAsDigitGroupSeparatorAndDecimalPoint
_commaAsDigitGroupSeparatorAndDecimalPoint
_pointAsDigitGroupSeparatorAndDecimalComma
_apostropheAsDigitGroupSeparatorAndDecimalComma
_apostropheAsDigitGroupSeparatorAndDecimalPoint
