Value
account
accountingPeriod
advInterCompanyJournalEntry
assemblyBuild
assemblyUnbuild
assemblyItem
billingAccount
billingSchedule
bin
binTransfer
binWorksheet
bom
bomRevision
budget
budgetCategory
calendarEvent
campaign
campaignAudience
campaignCategory
campaignChannel
campaignFamily
campaignOffer
campaignResponse
campaignSearchEngine
campaignSubscription
campaignVertical
cashRefund
cashSale
check
charge
classification
consolidatedExchangeRate
contact
contactCategory
contactRole
costCategory
couponCode
creditMemo
crmCustomField
currency
currencyRate
customList
customPurchase
customRecord
customRecordCustomField
customRecordType
customSale
customSegment
customTransaction
customTransactionType
customer
customerCategory
customerDeposit
customerMessage
customerPayment
customerRefund
customerStatus
customerSubsidiaryRelationship
deposit
depositApplication
department
descriptionItem
discountItem
downloadItem
employee
entityCustomField
entityGroup
estimate
expenseCategory
expenseReport
fairValuePrice
file
folder
generalToken
giftCertificate
giftCertificateItem
globalAccountMapping
hcmJob
inboundShipment
interCompanyJournalEntry
interCompanyTransferOrder
inventoryAdjustment
inventoryCostRevaluation
inventoryItem
inventoryNumber
inventoryTransfer
invoice
itemAccountMapping
itemCustomField
itemDemandPlan
itemFulfillment
itemGroup
itemNumberCustomField
itemOptionCustomField
itemSupplyPlan
itemRevision
issue
job
jobStatus
jobType
itemReceipt
journalEntry
kitItem
leadSource
location
lotNumberedInventoryItem
lotNumberedAssemblyItem
markupItem
merchandiseHierarchyNode
message
manufacturingCostTemplate
manufacturingOperationTask
manufacturingRouting
nexus
nonInventoryPurchaseItem
nonInventoryResaleItem
nonInventorySaleItem
note
noteType
opportunity
otherChargePurchaseItem
otherChargeResaleItem
otherChargeSaleItem
otherCustomField
otherNameCategory
partner
partnerCategory
paycheck
paycheckJournal
paymentCard
paymentCardToken
paymentItem
paymentMethod
payrollItem
periodEndJournal
phoneCall
priceLevel
pricingGroup
projectTask
promotionCode
purchaseOrder
purchaseRequisition
resourceAllocation
returnAuthorization
revRecSchedule
revRecTemplate
salesOrder
salesRole
salesTaxItem
serializedInventoryItem
serializedAssemblyItem
servicePurchaseItem
serviceResaleItem
serviceSaleItem
solution
siteCategory
state
statisticalJournalEntry
subsidiary
subtotalItem
supportCase
supportCaseIssue
supportCaseOrigin
supportCasePriority
supportCaseStatus
supportCaseType
task
taxAcct
taxGroup
taxType
term
timeBill
timeSheet
topic
transferOrder
transactionBodyCustomField
transactionColumnCustomField
unitsType
usage
vendor
vendorCategory
vendorBill
vendorCredit
vendorPayment
vendorReturnAuthorization
vendorSubsidiaryRelationship
winLossReason
workOrder
workOrderIssue
workOrderCompletion
workOrderClose
